Track Name,Album_Name,Song_Type,Artist Name(s),Language,Release Year,Mood,Genre_category,Duration (mins),Popularity,Stream Category,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Idre Nemdiyaag Irbek ,The Devil,Movie,B. Ajaneesh Loknath;Deepak Blue;Aniruddha Sastry,Kannada,2025,Energetic,Dance,4.33,56,Medium,Saregama India Ltd,0.873,0.903,-6.514,0.287,0.419,0.000163,0.42,0.836,135.028
Parichayavade ,Bagheera,Movie,B. Ajaneesh Loknath;Pramod Maravante;Ritesh G Rao,Kannada,2024,Romantic,Soul,3.57,53,Medium,Hombale Music,0.538,0.597,-8.448,0.0393,0.307,0,0.0909,0.171,154.871
Yeno Onthara Chanda ,The Devil,Movie,B.Ajaneesh Loknath;Abby V;Harshika Devanath;Pramod Maravanthe,Kannada,2025,Romantic,Soul,4.82,43,Medium,Saregama India Ltd,0.668,0.71,-6.816,0.0894,0.088,0.00000168,0.0875,0.629,118.878
Alohomora - The True Emperor ,The Devil,Movie,B. Ajaneesh Loknath;Aniruddha Sastry,Kannada,2025,Energetic,Dance,3.23,39,Low,Saregama India Ltd,0.646,0.985,-2.447,0.0765,0.0306,0.00848,0.11,0.747,93.022
Bombe Bombe,Kranti ,Movie,V. Harikrishna;Yogaraj Bhat;Sonu Nigam,Kannada,2022,Romantic,Soul,3.46,40,Medium,D Beats,0.66,0.552,-9.072,0.0398,0.653,0,0.16,0.664,149.99
Hostel Hudugaru Protest Song,Hostel Hudugaru Bekagiddare ,Movie,B. Ajaneesh Loknath,Kannada,2023,Energetic,Dance,4.12,46,Medium,Think Music Kannada,0.723,0.697,-9.325,0.162,0.657,0.0000219,0.895,0.798,108.839
Pushpavati,Kranti ,Movie,V. Harikrishna;Aishwarya Rangarajan;Yogaraj Bhat,Kannada,2022,Happy,Pop,4.08,39,Low,D Beats,0.876,0.834,-7.037,0.143,0.556,0.00024,0.079,0.736,110.278
Naanaadada Maathellava,Gaalipata 2 ,Movie,Arjun Janya;Jayant Kaikini;Sonu Nigam,Kannada,2022,Romantic,Soul,4.29,53,Medium,Aananda Audio Video,0.59,0.534,-7.884,0.0355,0.488,0.00000273,0.0781,0.354,129.867
Kannu Hodiyaka,Roberrt,Movie,Shreya Ghoshal,Kannada,2021,Romantic,Soul,3.77,0,Low,Aananda Audio Video,0.801,0.778,-4.686,0.0473,0.345,0,0.302,0.862,97.007
Belakina Kavithe,Banaras,Movie,Sanjith Hegde;Sangeetha Ravindranath;B. Ajaneesh Loknath;Dr V Nagendra Prasad,Kannada,2022,Romantic,Soul,3.6,54,Medium,Lahari Music,0.397,0.473,-8.582,0.0563,0.662,0,0.239,0.395,157.443
Baava - Theme Song ,Su From So,Movie,Sandeep Thulasidas;Raj B. Shetty,Kannada,2025,Energetic,Dance,0.76,41,Medium,Lighter Buddha Films,0.677,0.701,-6.074,0.123,0.4,0.000064,0.753,0.97,134.701
Viral Vayyari ,Junior ,Movie,Devi Sri Prasad;Deepak Blue;Haripriya;Pavan Bhat,Kannada,2025,Happy,Pop,4.41,40,Medium,Aditya Music (India) Pvt Ltd,0.861,0.642,-7.862,0.207,0.121,0.00899,0.158,0.371,82.521
